idx,time(s),count B,count C
2,0.02,10,13
3,0.03,8,12
4,0.04,8,11
5,0.05,6,10
6,0.06,6,9
7,0.07,4,8
8,0.08,4,7
9,0.09,2,6
10,0.1,1,5
11,0.11,0,3
12,0.12,-1,2
13,0.13,-2,1
14,0.14,-3,0
15,0.15,-4,-1
16,0.16,-6,-3
17,0.17,-7,-4
18,0.18,-8,-5
19,0.19,-9,-6
20,0.2,-10,-7
21,0.21,-11,-9
22,0.22,-12,-10
23,0.23,-14,-11
24,0.24,-14,-12
25,0.25,-16,-13
26,0.26,-16,-14
27,0.27,-18,-16
28,0.28,-18,-17
29,0.29,-20,-18
30,0.3,-20,-19
31,0.31,-22,-20
32,0.32,-22,-21
33,0.33,-23,-22
34,0.34,-24,-23
35,0.35,-25,-24
36,0.36,-26,-24
37,0.37,-26,-25
38,0.38,-27,-26
39,0.39,-27,-27
40,0.4,-28,-27
41,0.41,-28,-28
42,0.42,-29,-28
43,0.43,-29,-29
44,0.44,-30,-29
45,0.45,-30,-30
46,0.46,-30,-30
47,0.47,-30,-30
48,0.48,-31,-31
49,0.49,-31,-31
50,0.5,-31,-31
51,0.51,-31,-31
52,0.52,-31,-31
53,0.53,-31,-31
54,0.54,-31,-31
55,0.55,-31,-30
56,0.56,-30,-30
57,0.57,-30,-30
58,0.58,-30,-30
59,0.59,-30,-29
60,0.6,-29,-29
61,0.61,-29,-28
62,0.62,-28,-28
63,0.63,-28,-27
64,0.64,-27,-26
65,0.65,-27,-26
66,0.66,-26,-25
67,0.67,-25,-24
68,0.68,-24,-23
69,0.69,-24,-22
70,0.7,-23,-21
71,0.71,-22,-20
72,0.72,-21,-19
73,0.73,-20,-18
74,0.74,-20,-17
75,0.75,-18,-16
76,0.76,-18,-15
77,0.77,-16,-14
78,0.78,-16,-12
79,0.79,-14,-11
80,0.8,-13,-10
81,0.81,-12,-8
82,0.82,-11,-7
83,0.83,-10,-6
84,0.84,-9,-5
85,0.85,-8,-3
86,0.86,-6,-2
87,0.87,-6,-1
88,0.88,-4,0
89,0.89,-3,2
90,0.9,-2,3
91,0.91,-1,4
92,0.92,0,6
93,0.93,2,7
94,0.94,2,8
95,0.95,4,9
96,0.96,5,10
97,0.97,6,11
98,0.98,7,13
99,0.99,8,14
100,1.0,9,15
101,1.01,10,16
102,1.02,10,17
103,1.03,12,18
104,1.04,12,18
105,1.05,13,19
106,1.06,14,20
107,1.07,15,21
108,1.08,16,22
109,1.09,16,22
110,1.1,16,23
111,1.11,17,23
112,1.12,18,24
113,1.13,18,24
114,1.14,18,24
115,1.15,19,24
116,1.16,19,25
117,1.17,20,25
118,1.18,20,25
119,1.19,20,25
120,1.2,20,25
121,1.21,20,25
122,1.22,20,25
123,1.23,20,24
124,1.24,20,24
125,1.25,20,24
126,1.26,19,24
127,1.27,19,23
128,1.28,19,23
129,1.29,18,22
130,1.3,18,22
131,1.31,18,21
132,1.32,17,21
133,1.33,16,20
134,1.34,16,20
135,1.35,15,19
136,1.36,14,18
137,1.37,14,18
138,1.38,13,17
139,1.39,12,16
140,1.4,11,15
141,1.41,10,14
142,1.42,9,13
143,1.43,8,12
144,1.44,7,11
145,1.45,6,10
146,1.46,5,9
147,1.47,4,8
148,1.48,3,7
149,1.49,2,6
150,1.5,1,4
151,1.51,0,3
152,1.52,-1,2
153,1.53,-2,1
154,1.54,-4,0
155,1.55,-5,-2
156,1.56,-6,-3
157,1.57,-7,-4
158,1.58,-8,-5
159,1.59,-9,-6
160,1.6,-10,-8
161,1.61,-12,-9
162,1.62,-12,-10
163,1.63,-14,-11
164,1.64,-15,-12
165,1.65,-16,-14
166,1.66,-17,-15
167,1.67,-18,-16
168,1.68,-19,-17
169,1.69,-20,-18
170,1.7,-21,-19
171,1.71,-22,-20
172,1.72,-22,-21
173,1.73,-23,-22
174,1.74,-24,-23
175,1.75,-25,-24
176,1.76,-26,-25
177,1.77,-26,-25
178,1.78,-27,-26
179,1.79,-28,-27
180,1.8,-28,-28
181,1.81,-28,-28
182,1.82,-29,-29
183,1.83,-30,-29
184,1.84,-30,-30
185,1.85,-30,-30
186,1.86,-30,-30
187,1.87,-30,-31
188,1.88,-31,-31
189,1.89,-31,-31
190,1.9,-31,-31
191,1.91,-31,-31
192,1.92,-31,-31
193,1.93,-31,-31
194,1.94,-31,-31
195,1.95,-31,-31
196,1.96,-30,-30
197,1.97,-30,-30
198,1.98,-30,-30
199,1.99,-30,-29
200,2.0,-29,-29
201,2.01,-29,-28
202,2.02,-28,-28
203,2.03,-28,-27
204,2.04,-27,-26
205,2.05,-26,-26
206,2.06,-26,-25
207,2.07,-25,-24
208,2.08,-24,-23
209,2.09,-24,-22
210,2.1,-23,-21
211,2.11,-22,-20
212,2.12,-21,-19
213,2.13,-20,-18
214,2.14,-19,-17
215,2.15,-18,-16
216,2.16,-17,-14
217,2.17,-16,-13
218,2.18,-15,-12
219,2.19,-14,-11
220,2.2,-13,-9
221,2.21,-12,-8
222,2.22,-11,-7
223,2.23,-10,-6
224,2.24,-8,-4
225,2.25,-8,-3
226,2.26,-6,-2
227,2.27,-5,0
228,2.28,-4,1
229,2.29,-3,2
230,2.3,-2,4
231,2.31,0,5
232,2.32,0,6
233,2.33,2,7
234,2.34,3,8
235,2.35,4,10
236,2.36,5,11
237,2.37,6,12
238,2.38,7,13
239,2.39,8,14
240,2.4,9,15
241,2.41,10,16
242,2.42,11,17
243,2.43,12,18
244,2.44,12,19
245,2.45,14,20
246,2.46,14,20
247,2.47,15,21
248,2.48,16,22
249,2.49,16,22
250,2.5,17,23
251,2.51,17,23
252,2.52,18,24
253,2.53,18,24
254,2.54,19,24
255,2.55,19,25
256,2.56,19,25
257,2.57,20,25
258,2.58,20,25
259,2.59,20,25
260,2.6,20,25
