idx,time(s),count B,count C
2,0.02,-17,-12
3,0.03,-16,-11
4,0.04,-15,-10
5,0.05,-14,-9
6,0.06,-13,-8
7,0.07,-12,-7
8,0.08,-10,-6
9,0.09,-10,-5
10,0.1,-8,-4
11,0.11,-7,-2
12,0.12,-6,-1
13,0.13,-5,0
14,0.14,-4,1
15,0.15,-3,2
16,0.16,-2,3
17,0.17,-1,4
18,0.18,0,5
19,0.19,2,6
20,0.2,2,7
21,0.21,4,8
22,0.22,5,9
23,0.23,6,10
24,0.24,7,11
25,0.25,8,12
26,0.26,8,13
27,0.27,10,14
28,0.28,10,14
29,0.29,11,15
30,0.3,12,16
31,0.31,13,17
32,0.32,14,17
33,0.33,14,18
34,0.34,15,19
35,0.35,16,19
36,0.36,16,20
37,0.37,17,20
38,0.38,18,20
39,0.39,18,21
40,0.4,18,21
41,0.41,18,22
42,0.42,19,22
43,0.43,19,22
44,0.44,20,22
45,0.45,20,22
46,0.46,20,22
47,0.47,20,22
48,0.48,20,22
49,0.49,20,22
50,0.5,20,22
51,0.51,20,22
52,0.52,20,21
53,0.53,19,21
54,0.54,19,21
55,0.55,18,20
56,0.56,18,20
57,0.57,18,20
58,0.58,17,19
59,0.59,17,19
60,0.6,16,18
61,0.61,16,18
62,0.62,15,17
63,0.63,14,16
64,0.64,14,16
65,0.65,13,15
66,0.66,12,14
67,0.67,11,13
68,0.68,10,13
69,0.69,10,12
70,0.7,9,11
71,0.71,8,10
72,0.72,7,9
73,0.73,6,8
74,0.74,5,7
75,0.75,4,6
76,0.76,3,5
77,0.77,2,4
78,0.78,0,3
79,0.79,0,2
80,0.8,-2,1
81,0.81,-3,0
82,0.82,-4,-1
83,0.83,-5,-2
84,0.84,-6,-3
85,0.85,-7,-4
86,0.86,-8,-6
87,0.87,-9,-7
88,0.88,-10,-8
89,0.89,-12,-9
90,0.9,-12,-10
91,0.91,-14,-11
92,0.92,-14,-12
93,0.93,-16,-13
94,0.94,-17,-14
95,0.95,-18,-15
96,0.96,-18,-16
97,0.97,-20,-17
98,0.98,-20,-18
99,0.99,-21,-19
100,1.0,-22,-20
101,1.01,-23,-20
102,1.02,-24,-21
103,1.03,-24,-22
104,1.04,-25,-23
105,1.05,-26,-23
106,1.06,-26,-24
107,1.07,-27,-25
108,1.08,-28,-25
